file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,simplicity,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff,gabor_0,gabor_15,gabor_30,gabor_45,gabor_60,gabor_75,gabor_90,gabor_105,gabor_120,gabor_135,gabor_150,gabor_165,EH_0,EH_1,EH_2,EH_3,EH_4,EH_5,EH_6,EH_7,EH_8,EH_9,EH_10,EH_11,EH_12,EH_13,EH_14,EH_15,EH_16
43,300,225,0.274607,0.319097,0.365217,0.336808,0.391376,0.355231,0.388585,0.451541,0.340071,0.0486371,0.369282,0.348403,0.326993,0.388647,0.265339,0.144246,0,0.00350423,0.00350877,0,0,0,0,0.0730245,0.013004,0,0.028125,0,0,0,0,0,0,0,0.117271,0.148953,0.210184,0.216319,0.184987,0.251826,0.202997,0.22738,0.269002,0.147034,0.287781,0.132422,4,4,1,2,2,1,3,2,2,1,1,1,2,1,1,2,1
44,300,225,0.22452,0.174512,0.17557,0.33944,0.263836,0.201403,0.43604,0.33892,0.218107,0.160362,0.240876,0.190157,0.334248,0.397148,0.271348,0.168907,0,0.0208914,0.0210526,0,0,0,0,0.137187,0.0265341,0,0.028125,0,0,0,0,0,0,0,0.150793,0.171628,0.212075,0.215793,0.195628,0.239156,0.207101,0.222981,0.249855,0.170195,0.262786,0.16144,2,2,2,2,3,2,2,4,4,2,2,1,4,4,3,1,2
45,300,225,0.211949,0.277252,0.25962,0.345045,0.451356,0.25358,0.443006,0.579501,0.22108,0.180156,0.405746,0.244169,0.338386,0.398809,0.277963,0.165247,0,0.00699963,0.00701754,0,0,0,0,0.0823054,0.0151757,0,0.028125,0,0,0,0,0,0,0,0.107613,0.141798,0.210177,0.216426,0.182407,0.255862,0.201622,0.228333,0.273575,0.140031,0.295609,0.124791,2,2,2,2,3,2,2,2,3,2,2,4,2,2,2,2,2
46,300,225,0.238213,0.272975,0.299092,0.33902,0.388491,0.296233,0.422767,0.484459,0.277868,0.100877,0.357709,0.287023,0.340472,0.400638,0.280306,0.172613,0,0,0,0,0,0,0,0.082166,0.0139411,0,0.028125,0,0,0,0,0,0,0,0.119958,0.15005,0.210719,0.216188,0.186398,0.251226,0.203154,0.226825,0.266518,0.148657,0.286546,0.135056,4,4,2,2,2,4,2,2,2,3,4,1,3,4,1,2,2
47,300,225,0.182593,0.235948,0.193294,0.349834,0.452057,0.188774,0.467573,0.6042,0.181325,0.125776,0.396838,0.177389,0.346031,0.407797,0.284266,0.169009,0,0,0,0,0,0,0,0.135582,0.0228724,0,0.028125,0,0,0,0,0,0,0,0.109805,0.143909,0.210038,0.216344,0.182784,0.254631,0.202082,0.228195,0.273013,0.141832,0.293302,0.126964,1,4,4,4,4,2,4,4,1,2,2,4,4,4,4,4,4
48,300,225,0.230086,0.198347,0.236495,0.337236,0.290716,0.255119,0.432678,0.372993,0.255896,0.108859,0.2671,0.241685,0.348082,0.409013,0.287151,0.167185,0,0.0174335,0.0175439,0,0,0,0,0.100101,0.0197857,0,0.028125,0,0,0,0,0,0,0,0.14408,0.166616,0.211834,0.215912,0.193638,0.242014,0.206184,0.223808,0.253492,0.165615,0.26832,0.155745,1,3,1,2,2,2,2,4,2,2,3,4,2,2,4,4,2
49,300,225,0.204206,0.117634,0.162653,0.348804,0.200931,0.218557,0.44699,0.257492,0.241836,0.168616,0.178884,0.195088,0.351675,0.411515,0.291834,0.188569,0,0.0243465,0.0245614,0,0,0,0,0.0993781,0.0207707,0,0.028125,0,0,0,0,0,0,0,0.16748,0.182544,0.212623,0.215562,0.200653,0.233102,0.209167,0.221068,0.240837,0.181844,0.25073,0.173555,3,2,4,4,2,2,2,2,2,2,2,4,1,1,1,4,2
50,300,225,0.159124,0.0605134,0.114851,0.33242,0.126417,0.215434,0.508456,0.193362,0.272853,0.0678024,0.112065,0.182916,0.350119,0.409255,0.290984,0.207386,0,0.00699987,0.00701754,0,0,0,0,0.0170623,0.00409554,0,0.028125,0,0,0,0,0,0,0,0.18552,0.194789,0.21351,0.215386,0.206005,0.226299,0.211325,0.218766,0.231198,0.194449,0.237273,0.189531,1,2,2,2,1,1,1,2,4,2,2,3,2,2,2,2,2
51,300,225,0.322762,0.562072,0.333838,0.339123,0.590563,0.287752,0.338114,0.588807,0.256134,0.0770574,0.570434,0.288068,0.353647,0.4183,0.288994,0.203154,0,0,0,0,0,0,0,0.0806516,0.0138246,0,0.028125,0,0,0,0,0,0,0,0.0635012,0.112108,0.207993,0.216918,0.169041,0.272396,0.196212,0.233816,0.297699,0.109441,0.328318,0.0880601,1,4,4,4,1,3,4,4,1,1,4,4,1,1,4,4,4
52,300,225,0.261578,0.132291,0.154667,0.339286,0.171592,0.182248,0.399136,0.20186,0.199806,0.0923806,0.160084,0.168094,0.356794,0.422093,0.291495,0.206704,0,0.0208952,0.0210526,0,0,0,0,0.0978295,0.0199137,0,0.028125,0,0,0,0,0,0,0,0.172514,0.186126,0.21302,0.215521,0.202162,0.231134,0.209745,0.220298,0.238097,0.185319,0.24679,0.178856,2,2,2,4,4,2,1,1,4,2,3,4,2,2,3,3,2
