file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,aesthetics,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff
bin/data/videos_100/0011.mp4,1280,720,0.388596,117.713,25.1629,0.337972,102.378,24.4773,0.273431,82.8272,23.0294,1,0.410582,0.0929607,0.579332,0.74483,0.413834,1.14405,1,0.0858348,0.0881624,0.351726,0.0173985,0,0.0269428,0.149371,0.0625,0.416667,0.384,0,0,0.568898,0.0919117,0.33894,0.125976,0.0446907
bin/data/videos_100/0012.mp4,1280,720,0.349944,116.555,71.3771,0.324767,108.169,63.3805,0.325289,108.343,55.1039,0.45309,0.433957,0.24996,0.540383,0.688454,0.392313,1.00159,1,0.0933943,0.0962159,0,0,0,0,0.11277,0.06,0.4,0.384,0,0,0.455228,0.0902654,0.454375,0.160667,0.0866587
bin/data/videos_100/0013.mp4,1280,720,0.370706,121.535,45.2436,0.314068,102.966,41.7576,0.315225,103.345,43.9084,0.380101,0.425657,0.166782,0.54852,0.705479,0.391561,1.00525,1,0.128957,0.134378,0.186803,0.00989941,0,0.0339203,0.127863,0.0749251,0.499501,0.384,0,0,0.49585,0.0493559,0.454561,0.173559,0.0720725
bin/data/videos_100/0014.mp4,1280,720,0.34934,164.562,50.093,0.327197,154.131,52.4058,0.323462,152.371,50.1119,0.0933777,0.615705,0.200078,0.514673,0.659048,0.370298,0.91684,1,0.102651,0.106127,0,0,0,0,0.0520387,0.0749251,0.499501,0.384,0,0,0.490314,0.175444,0.334058,0.10652,0.232343
bin/data/videos_100/0015.mp4,1280,720,0.32791,74.2706,21.0302,0.319655,72.4009,21.734,0.352435,79.8254,32.6247,0.182784,0.289418,0.0820858,0.51002,0.650733,0.369307,0.878401,1,0.220897,0.237691,0.0412955,0.00181409,0,0.00798391,0.0810223,0.0749251,0.499501,0.384,0,0,0.516101,0.0337736,0.449855,0.153576,0.0505373
bin/data/videos_100/0016.mp4,1280,720,0.34411,114.846,20.4272,0.351935,117.458,24.3306,0.303955,101.444,18.6209,0.574803,0.450266,0.0719388,0.53663,0.685928,0.387333,0.847714,1,0.762311,1.003,0.0959651,0.00406548,0.00181752,0.00523375,0.164361,0.0749251,0.499501,0.384,0,0,0.665081,0.11499,0.219747,0.234278,0.0449007
bin/data/videos_100/0017.mp4,1280,720,0.382821,76.9549,37.0602,0.345542,69.4611,33.448,0.271637,54.6047,28.6016,0.0631706,0.274466,0.128816,0.520459,0.668213,0.372705,0.804872,1,0.0952061,0.0981786,0.0820523,0.0077065,0.00249808,0.0108323,0.0904379,0.0749251,0.499501,0.384,0,0,0.455955,0.0365592,0.507292,0.0999231,0.0852967
bin/data/videos_100/0018.mp4,1280,720,0.356194,169.007,49.4405,0.334706,158.811,52.3654,0.3091,146.662,60.4954,0.387889,0.629178,0.20438,0.522568,0.672169,0.372966,0.789347,1,0.0311588,0.0314703,0.20227,0.0131231,0.00534045,0.0222571,0.136358,0.06,0.4,0.384,0,0,0.697966,0.0694231,0.231943,0.437917,0.182892
bin/data/videos_100/0019.mp4,640,352,0.353537,80.2558,14.5496,0.32822,74.5085,14.3685,0.318243,72.2438,13.908,0.102661,0.298153,0.0561914,0.509433,0.657584,0.361282,0.783353,1,0.119595,0.12436,0.351873,0.0244714,0.00179412,0.0242866,0.0574531,0.0625,0.416667,0.0938667,0,0,0.170712,0.0313512,0.797713,0.0213052,0.0480231
bin/data/videos_100/0020.mp4,1280,720,0.325458,150.486,7.5915,0.322258,149.006,6.63923,0.352284,162.889,7.69009,0.092338,0.592196,0.0264947,0.498835,0.64177,0.355899,0.75919,1,0.132718,0.138652,0,0,0,0,0.072943,0.075,0.5,0.384,0,0,0.102429,0.100376,0.796809,0.000773994,0.316738
